COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
"'Oakland',",'1106 E. 42nd Pl',60653,41.81813912,-87.59936268
"'Humboldt Park',",'3500 W. Ohio St.',60624,41.89192949,-87.71382831
"'Grand Boulevard',",'116 E. 43rd St.',60653,41.81666257,-87.62226472
"'Humboldt Park',",'614 N. Spaulding Ave.',60624,41.89237005,-87.70904868
"'Woodlawn',",'6446 S. Kenwood Ave.',60637,41.77748903,-87.59314971
"'Humboldt Park',",'3541 W. North Ave.',60647,41.90989234,-87.71605298
"'Albany Park',",'2800 W. Montrose Ave.',60618,41.96135865,-87.69854417
"'North Lawndale',",'4339-47 W. 18th Pl',60623,41.85577153,-87.7338879
"'Rogers Park',",'6928 N. Wayne Ave.',60626,42.00757377,-87.66517114
"'Englewood',",'6002 S. Halsted St.',60621,41.78499449,-87.64506314
"'Montclare',",'2931-57 N. Harlem Ave.',60707,41.93350027,-87.80644193
"'Oakland',",'1140 E. 42nd Pl',60653,41.81813504,-87.59809656
"'Near West Side',",'1355 S. Blue Island Ave.',60608,41.8639941,-87.65575239
"'Auburn Gresham',",'1050 W. 79th St.',60620,41.75064862,-87.65092232
"'North Center',",'2324 W. Irving Park Road',60618,41.95414467,-87.68697505
"'East Garfield Park',",'3300 W. Maypole Ave.',60624,41.88369802,-87.7089025
"'West Pullman',",'12045 S. Emerald Ave.',60628,41.67469008,-87.64051484
"'Humboldt Park',",'3220 W. Division St.',60651,41.90293349,-87.70762292
"'North Lawndale',",'1313-15 S. Fairfiled Ave.',60608,41.86422845,-87.69442766
"'Grand Boulevard',",'5000 S. Indiana Ave.',60615,41.80375452,-87.62121706
"'Lower West Side',",'2124 W. 19th St.',60608,41.85590751,-87.67943292
"'West Pullman',",'11701 S. State St.',60628,41.6815901,-87.62262763
"'Near South Side',",'1400 S. Indiana Ave.',60605,41.86402666,-87.62262043
"'Washington Park',",'6151 S. Michigan Ave.',60637,41.782332,-87.62198764
"'Grand Boulevard',",'4427-33 S. Indiana Ave.',60653,41.813971,-87.62119166
"'Uptown',",'5012 N. Winthrop Ave.',60640,41.97370056,-87.65789194
"'Oakland',",'1128 E. Bowen Ave.',60653,41.81894603,-87.59897812
"'North Lawndale',",'4041 W. Roosevelt Road',60624,41.86604003,-87.72672414
"'Belmont Cragin',",'4800 W. George St.',60641,41.93346293,-87.74679225
"'Douglas',",'17 W. 36th St.',60609,41.82906211,-87.62716568
"'West Town',",'1600 N. Talman Ave.',60647,41.91034383,-87.69347132
"'Oakland',",'4143 S. Lake Park Ave.',60653,41.81881289,-87.59996595
"'Englewood',",'624 W. 61st St.',60621,41.78355891,-87.6410929
"'Woodlawn',",'6321 S. Cottage Grove Ave.',60637,41.7797573,-87.60576963
"'Lower West Side',",'1714 W. 19th St.',60608,41.85603287,-87.66936057
"'North Lawndale',",'1262-1300 S. Washtenaw Ave.',60608,41.86468333,-87.69350477
"'Avalon Park',",'1200 E. 78th St.',60619,41.75332086,-87.5954564
"'Humboldt Park',",'528 N. Troy St.',60624,41.89123228,-87.70534012
"'Chicago Lawn',",'3214 W. 63rd Pl',60629,41.77814486,-87.70387541
"'Grand Boulevard',",'460 E. 41st St.',60653,41.82038154,-87.61438244
"'Near West Side',",'1939 W. Lake St.',60612,41.8849038,-87.67585077
"'North Lawndale',",'3836 W. Cermak Road',60623,41.85170274,-87.72132688
"'Lower West Side',",'967 W. 19th St.',60608,41.85656724,-87.65074652
"'Washington Park',",'5701 S. Michigan Ave.',60653,41.79098039,-87.62222411
"'Edgewater',",'5650 N. Kenmore Ave.',60660,41.98518678,-87.65680868
"'Grand Boulevard',",'731 E. 50th Pl',60615,41.80304222,-87.60758851
"'South Shore',",'7018 S. Cregier Ave.',60649,41.76738208,-87.58140538
"'South Chicago',",'3200 E. 92nd St.',60617,41.72840878,-87.54682246
"'North Park',",'5801 N. Pulaski Road',60646,41.98593151,-87.72836921
"'Near South Side',",'2031 S. Clark St.',60616,41.8544114,-87.62999188
"'Roseland',",'240 W. 107th Place',60628,41.69899564,-87.62954345
"'Lakeview',",'3600 N. Halsted St.',60613,41.94740174,-87.64963658
"'West Town',",'710 W. Grand Ave.',60654,41.89131063,-87.64632446
"'Auburn Gresham',",'8132-44 S. Racine Ave.',60620,41.74586011,-87.65376017
"'West Town',",'1527-31 N. Wicker Park Ave.',60622,41.90876874,-87.67689152
"'East Garfield Park',",'15 S. Homan Ave.',60624,41.88041381,-87.71084273
"'Logan Square',",'3503 W. Armitage Ave',60647,41.91720928,-87.71368201
"'Humboldt Park',",'3118 W. Franklin Blvd.',60624,41.89019948,-87.70473978
"'Woodlawn',",'1410 E. 62nd St.',60637,41.78250522,-87.59096164
"'Hegewisch',",'13550 S. Avenue O',60633,41.64845741,-87.54012317
"'South Lawndale',",'3515-17 W. 23rd St.',60623,41.84975688,-87.71320473
"'North Lawndale',",'1331 S. Independence Blvd.',60623,41.86341092,-87.71929168
"'Humboldt Park',",'532 N. Trumbull Ave.',60624,41.89123533,-87.71267502
"'Near South Side',",'30 W. Cermak Road',60616,41.85301339,-87.62823221
"'Uptown',",'847-49 W. Sunnyside Ave.',60640,41.9635354,-87.65179619
"'Gage Park',",'3244 W. 59th St.',60629,41.78632805,-87.70513618
"'Lower West Side',",'2021 S. Morgan St.',60608,41.85461476,-87.65132209
"'Near North Side',",'1333 N. Kingsbury St.',60622,41.905731,-87.64964597
"'Grand Boulevard',",'4950 S. Langley Ave.',60615,41.80435535,-87.60902296
"'West Town',",'1723-33 N. Humboldt Blvd.',60647,41.91280865,-87.70180006
"'Logan Square',",'2501 W. Armitage Ave.',60647,41.91744385,-87.68988362
"'Austin',",'334 N. Menard Ave.',60644,41.88672742,-87.77013329
"'Humboldt Park',",'3543 W. Chicago Ave.',60651,41.89535898,-87.71557516
"'Douglas',",'3640 S. State St.',60609,41.82792531,-87.62663572
"'Washington Park',",'346 E. 53rd St.',60615,41.79854996,-87.61745669
"'Humboldt Park',",'3224 W. Ohio St.',60624,41.89199316,-87.70760707
"'Englewood',",'5628-30 S. Halsted St.',60621,41.79162782,-87.64523321
"'Humboldt Park',",'3939-59 W. North Ave.',60647,41.90978701,-87.72558192
"'Uptown',",'4946 N. Sheridan Road',60640,41.97294612,-87.65506712
"'Near West Side',",'1519 W. Warren Blvd.',60607,41.88227183,-87.66598098
"'Grand Boulevard',",'4340-2 S. Champlain St.',60653,41.81660195,-87.61055648
"'New City',",'4845 S. Western Blvd.',60609,41.80531018,-87.68362994
"'Albany Park',",'4814-58 N. Kedzie Ave.',60625,41.96893506,-87.70863783
"'North Lawndale',",'1254-56 S. Fairfiled Ave.',60608,41.86488549,-87.69474071
"'Washington Park',",'6253 S. Michigan Ave.',60653,41.78040369,-87.62183749
"'Rogers Park',",'6808 N. Wayne Ave.',60626,42.00577097,-87.66511109
"'West Town',",'1045 N. Sacramento Blvd.',60622,41.90048723,-87.70160663
"'Oakland',",'1110 E. Bowen Ave.',60653,41.81874892,-87.59960335
"'Woodlawn',",'6230 S. Dorchester Ave.',60637,41.78143113,-87.59152085
"'Woodlawn',",'6134 S. Cottage Grove Ave.',60637,41.78300119,-87.60613195
"'Logan Square',",'2451-57 N. Sacramento Ave.',60612,41.92627863,-87.70220924
"'Chatham',",'8300 S. Cottage Grove Ave.',60619,41.74387382,-87.60517616
"'Chicago Lawn',",'7430 S. Rockwell St.',60629,41.75815411,-87.68810611
"'Hyde Park',",'1330 E. 53rd St.',60615,41.79959787,-87.59376104
"'North Lawndale',",'1910 S. Albany Ave.',60623,41.8551334,-87.7030674
"'Douglas',",'15 W. 37th St.',60609,41.82720892,-87.62722672
"'North Lawndale',",'1218-20 S. Washtenaw Ave.',60608,41.8658847,-87.69353817
"'Edgewater',",'5700 N. Sheridan Road',60660,41.9856411,-87.65538854
"'Oakland',",'4131 S. Lake Park Ave.',60653,41.81914922,-87.60016504
"'Austin',",'504 S. Laramie Ave.',60644,41.87376512,-87.7549712
"'Hyde Park',",'5105 S. Harper Ave.',60615,41.80226057,-87.58900435
"'West Elsdon',",'3630 W. 51st St.',60632,41.80078286,-87.71473662
"'Logan Square',",'1955 N. Richmond St.',60647,41.91725621,-87.70031066
"'Woodlawn',",'6129 S. Cottage Grove Ave.',60637,41.78317579,-87.60584352
"'Lower West Side',",'963 W Cullerton St.',60608,41.8551748,-87.65062753
"'West Town',",'1038-40 N. Ashland Ave.',60622,41.90089079,-87.66757227
"'Avondale',",'3060 N. Milwaukee Ave.',60618,41.93666739,-87.72009772
"'Douglas',",'10 W. 37th St.',60609,41.82744587,-87.62694964
"'North Park',",'5801 N. Pulaski Road',60646,41.98593151,-87.72836921
"'Oakland',",'1060 E. 41st St.',60653,41.82035789,-87.60043601
"'East Garfield Park',",'2822 W. Jackson Blvd.',60612,41.87753589,-87.69706305
"'Humboldt Park',",'3248 W. Division St.',60651,41.90292371,-87.7086161
"'North Lawndale',",'2642-44 W. 12 th Pl',60608,41.86577114,-87.69274143
"'Montclare',",'6650 W. Belden Ave.',60707,41.92130822,-87.79209096
"'North Lawndale',",'1251 S. Sawyer Ave.',60623,41.86482901,-87.70669366
"'Belmont Cragin',",'5038 W. Armitage Ave.',60639,41.91696054,-87.75247249
"'Woodlawn',",'6200 S. University Ave.',60637,41.782231,-87.59801573
"'Englewood',",'500 W. Englewood Ave.',60621,41.78090936,-87.63761782
"'West Town',",'2654 W. North Ave.',60647,41.91035449,-87.69432564
"'Austin',",'1816 N. St. Louis Ave.',60647,41.91421838,-87.71358429
"'West Pullman',",'825 W. 118th St.',60643,41.67950676,-87.6430113
"'East Garfield Park',",'2800 W. Fulton St.',60612,41.88664623,-87.69655814
"'Rogers Park',",'7450 N. Rogers Ave.',60626,42.01714971,-87.67317857
"'Douglas',",'340 E. 38th St.',60653,41.82575322,-87.61751743
"'Uptown',",'900 W. Windsor Ave.',60640,41.9645923,-87.65250544
"'Near West Side',",'2425 W. Adams St.',60612,41.8784239,-87.68736835
"'Uptown',",'811 W. Agatite Ave.',60640,41.96263002,-87.65043043
"'Grand Boulevard',",'4500 S. Wabash Ave.',60653,41.81297966,-87.62470713
"'Lakeview',",'927 W. Irving Park Rd.',60613,41.95439818,-87.65321906
"'West Town',",'1623 N. Talman Ave.',60647,41.91097205,-87.69319452
"'Logan Square',",'2201-31 N. Milwaukee Ave.',60647,41.92090376,-87.6938545
"'Humboldt Park',",'1750 N. Spaulding Ave.',60647,41.91332565,-87.71031714
"'North Lawndale',",'1302-06 S. Washtenaw Ave.',60608,41.86452207,-87.69350059
"'Woodlawn',",'817 E. 64th St.',60637,41.77849343,-87.60507242
"'Grand Boulevard',",'4257 S. King Dr.',60653,41.81674964,-87.61664895
"'West Garfield Park',",'3916 W. Washington Blvd.',60624,41.88196929,-87.72399261
"'Near West Side',",'1222 W. Roosevelt Road',60607,41.86709035,-87.65767338
"'Washington Park',",'5751-59 S. Michigan Ave.',60637,41.78956141,-87.62218963
"'Fuller Park',",'5041 S. Princeton Ave.',60609,41.80241312,-87.63305258
"'Auburn Gresham',",'8019-55 S. Halsted St.',60620,41.74822238,-87.6438257
"'New City',",'850 W. Garfield Blvd.',60609,41.7943937,-87.64724467
"'Roseland',",'10450 S. Michigan Ave.',60628,41.70389075,-87.62077116
"'Douglas',",'3604 S. State St.',60609,41.82901759,-87.62666295
"'Grand Boulevard',",'611 E. 50th St.',60615,41.80389906,-87.6108319
"'Oakland',",'1137 E. Bowen Ave.',60653,41.81886863,-87.59851524
"'North Lawndale',",'1317-19 S. Fairfield Ave.',60608,41.86412462,-87.69442467
"'West Ridge',",'6411 N. Rockwell Ave.',60645,41.99802217,-87.69463113
"'Uptown',",'4040 N. Sheridan Road',60613,41.95568502,-87.65472513
"'Washington Park',",'6100-24 S. Prairie Ave.',60637,41.78373056,-87.61908972
"'Grand Boulevard',",'722-46 E. Bowen Ave.',60653,41.81957647,-87.60848349
"'South Chicago',",'9200 S. Burley Ave.',60617,41.72821986,-87.54575578
"'Humboldt Park',",'3114 W. Franklin Blvd.',60624,41.8902013,-87.70458681
"'Near North Side',",'625 W. Division St.',60622,41.90358744,-87.64433208
"'Grand Boulevard',",'4333 S. Michigan Ave.',60653,41.8155504,-87.62285652
"'Edgewater',",'1062 W. Bryn Mawr Ave.',60660,41.9837729,-87.65770384
"'North Lawndale',",'3440 W. Roosevelt Road',60624,41.86643977,-87.71218086
"'Lakeview',",'3208 N. Shefield Ave.',60657,41.94022814,-87.65426349
"'Lower West Side',",'1646-50 S. Throop St.',60608,41.8583373,-87.65903377
"'Greater Grand Crossing',",'1450 E. 70th St.',60619,41.76795883,-87.58910953
"'South Shore',",'2804 E. 77th Place',60649,41.7546866,-87.55496472
"'Humboldt Park',",'3554 W. Ohio St.',60624,41.89190751,-87.71596466
"'West Town',",'1664 W. Division St.',60622,41.90341508,-87.66997144
"'North Lawndale',",'1224 S. Washtenaw Ave.',60608,41.86568173,-87.69353304
"'Near South Side',",'30 W. Cermak Road',60616,41.85301339,-87.62823221
"'West Town',",'2656 W. North Ave.',60647,41.91035372,-87.69440401
"'Portage Park',",'4015-23 N. Narragansett Ave.',60634,41.95344562,-87.78643375
"'Humboldt Park',",'607 N. Sawyer Ave.',60624,41.89215341,-87.70752657
"'Oakland',",'1113 E. Bowen Ave.',60653,41.81857981,-87.59938372
"'Near South Side',",'300 E. 26th Street',60616,41.8457959,-87.62040337
"'Ashburn',",'2815 W. 79th St.',60652,41.74972646,-87.69327334
"'North Lawndale',",'1260 S. Fairfield Ave.',60608,41.86472904,-87.69473582
"'Grand Boulevard',",'4752 S. Wabash Ave.',60614,41.80769903,-87.62455959
"'Logan Square',",'2517 W. Fullerton Ave.',60647,41.9247621,-87.69066098
"'Chicago Lawn',",'2626 W. 63rd St.',60629,41.77928099,-87.68967949
"'North Lawndale',",'1859 S. Pulaski Road',60623,41.85533972,-87.72471008
"'Near North Side',",'545 W. Division St.',60610,41.90360901,-87.6430754
"'Humboldt Park',",'1745 N. Keystone Ave.',60639,41.91299036,-87.72750391
"'Uptown',",'5040 N. Kenmore Ave.',60640,41.97449607,-87.65651102
"'Humboldt Park',",'526 N. St. Louis Ave.',60624,41.8909481,-87.71388693
"'Washington Heights',",'8915 S. Loomis St.',60620,41.73164453,-87.65793186
"'Lower West Side',",'1712 W. 17th St.',60608,41.85876878,-87.66938208
"'Douglas',",'3800 S. King Dr.',60653,41.825556,-87.61717842
"'Edgewater',",'6214 N. Winthrop Ave.',60660,41.99501546,-87.65851604
"'Oakland',",'4130 S. Oakenwald Ave.',60653,41.81938039,-87.59887932
"'Austin',",'4623 W. Gladys Ave.',60644,41.87586178,-87.74131396
"'North Lawndale',",'1220 S. Talman Ave.',60608,41.86584389,-87.69231965
"'Irving Park',",'4054 N. Kedzie Ave.',60618,41.95553133,-87.70820786
"'Woodlawn',",'6450 S. Stony Island Ave.',60637,41.77728699,-87.58649335
"'Grand Boulevard',",'747 E. 47th St.',60653,41.80941355,-87.60708556
"'South Lawndale',",'2243 S. Central Park Ave.',60623,41.85039133,-87.7148139
"'North Lawndale',",'3128 W. Douglas Blvd.',60623,41.86308761,-87.70428319
"'Riverdale',",'13037 S. Daniel Dr.',60627,41.65793125,-87.6159174
"'Douglas',",'3138-40 S. Indiana Ave.',60616,41.83717695,-87.62203977
"'Lower West Side',",'1313 W. 19th St.',60608,41.85597939,-87.65939108
"'Logan Square',",'2328-48 N. California Ave.',60647,41.92365685,-87.69753123
"'South Shore',",'7538 S. Kingston Ave.',60649,41.75787127,-87.56285983
"'Austin',",'5565-71 W. Quincy Ave.',60644,41.8773375,-87.76423685
"'Washington Park',",'6143-51 S. Indiana Ave.',60637,41.78254707,-87.62038523
"'Humboldt Park',",'3053 W. Franklin Blvd.',60612,41.88999235,-87.70368677
"'Uptown',",'4727 N. Malden St.',60640,41.96799271,-87.66263241
"'Washington Park',",'5947 S. Indiana Ave.',60653,41.78604936,-87.62047574
"'Chatham',",'8200 S. Ellis Ave.',60619,41.74575696,-87.60031991
"'Uptown',",'4431 N. Clifton Ave.',60640,41.96265369,-87.65819285
"'Lakeview',",'1501 W. Melrose St.',60657,41.94053116,-87.66638261
"'Austin',",'335 N. Menard Ave.',60644,41.88673275,-87.76983958
"'Englewood',",'901 W. 63rd Street',60621,41.77959999,-87.64726896
"'Logan Square',",'2404-14 W. Cortland St.',60647,41.91586948,-87.68763427
"'West Ridge',",'5822 N. Western Ave.',60659,41.98752226,-87.68971871
"'Rogers Park',",'6928 N. Wayne Ave.',60626,42.00757377,-87.66517114
"'Douglas',",'3633 S. State St.',60609,41.82865019,-87.62635888
"'North Center',",'1911-21 W. Irving Park Rd.',60613,41.95407205,-87.67682369
"'Near West Side',",'1401 W. Roosevelt Road',60608,41.86680605,-87.66169184
"'Grand Boulevard',",'633 E. 50th St.',60615,41.8039101,-87.61014176
"'Washington Park',",'325-43 E. 55th Place',60637,41.79376972,-87.61813849
"'Grand Boulevard',",'4034 S. State St.',60609,41.82091083,-87.62652565
"'Lower West Side',",'1414-48 W. 21st St.',60608,41.85434832,-87.66187526
"'Near North Side',",'300 W. Hill St.',60610,41.90219524,-87.63592092
"'Grand Boulevard',",'701-27 E. 43rd St.',60653,41.81666609,-87.60905996
"'Washington Park',",'215 E. 61st St.',60637,41.78370163,-87.61994272
"'Roseland',",'10400-30 S. Michigan Ave.',60628,41.70534195,-87.62064503
"'Douglas',",'3612 S. State St.',60609,41.82873626,-87.62665512
"'Oakland',",'3859 S. Vincennes Ave.',60653,41.8239192,-87.61246844
"'Belmont Cragin',",'2715 N. Cicero Ave.',60639,41.93012657,-87.74638854
"'North Lawndale',",'1550 S. Hamlin Ave.',60623,41.85923592,-87.7202403
"'Lakeview',",'3228 N. Clark St.',60657,41.94064621,-87.65140951
"'West Town',",'2753 W. Division St.',60622,41.90281875,-87.69652556
"'East Garfield Park',",'750 S. Homan Ave.',60624,41.87119717,-87.71084842
"'Humboldt Park',",'3507 W. North Ave.',60647,41.9099065,-87.71469504
"'West Town',",'1241 N. Milwaukee Ave.',60622,41.904342,-87.66779176
"'Logan Square',",'3734 W. Cortland St.',60647,41.91552353,-87.72061073
"'Humboldt Park',",'3108 W. Franklin Blvd.',60624,41.89020402,-87.70435734
