ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"50","Visual & Performing Arts","5010","Arts, Entertainment, & Media Management","501002","Fine & Studio Arts Management",2012,"2012",5,"Bachelors Degree",221,"fine-studio-arts-management","Chicago, IL","16000US1714000","chicago-il"
"30","Interdisciplinary Studies","3013","Medieval & Renaissance Studies","301301","Medieval & Renaissance Studies",2012,"2012",5,"Bachelors Degree",3,"medieval-renaissance-studies-301301","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131317","Social Science Teacher Education",2012,"2012",5,"Bachelors Degree",5,"social-science-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"30","Interdisciplinary Studies","3017","Behavioral Sciences","301701","Behavioral Sciences",2012,"2012",5,"Bachelors Degree",36,"behavioral-sciences-301701","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131314","Physical Education Teaching & Coaching",2012,"2012",5,"Bachelors Degree",67,"physical-education-teaching-coaching","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520201","General Business Administration & Management",2012,"2012",5,"Bachelors Degree",934,"general-business-administration-management","Chicago, IL","16000US1714000","chicago-il"
"30","Interdisciplinary Studies","3020","International Studies","302001","International & Global Studies",2012,"2012",5,"Bachelors Degree",15,"international-global-studies","Chicago, IL","16000US1714000","chicago-il"
"30","Interdisciplinary Studies","3022","Classical & Ancient Studies","302202","Classical, Ancient Mediterranean, & Near Eastern Studies & Archeology",2012,"2012",5,"Bachelors Degree",5,"classical-ancient-mediterranean-near-eastern-studies-archeology","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131312","Music Teacher Education",2012,"2012",5,"Bachelors Degree",48,"music-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500999","Other Music",2012,"2012",5,"Bachelors Degree",6,"other-music","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131311","Mathematics Teacher Education",2012,"2012",5,"Bachelors Degree",32,"mathematics-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"30","Interdisciplinary Studies","3099","Other Interdisciplinary Studies","309999","Other Multidisciplinary Studies",2012,"2012",5,"Bachelors Degree",361,"other-multidisciplinary-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520204","Office Management & Supervision",2012,"2012",5,"Bachelors Degree",94,"office-management-supervision","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500916","Percussion Instruments",2012,"2012",5,"Bachelors Degree",2,"percussion-instruments","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1313","Teacher Education for Specific Subject Areas","131309","Technology & Industrial Arts Teacher Education",2012,"2012",5,"Bachelors Degree",4,"technology-industrial-arts-teacher-education","Chicago, IL","16000US1714000","chicago-il"
"31","Parks, Recreation, & Leisure","3103","Parks, Recreation, & Leisure Facilities Management","310301","General Parks, Recreation, & Leisure Facilities Management",2012,"2012",5,"Bachelors Degree",10,"general-parks-recreation-leisure-facilities-management","Chicago, IL","16000US1714000","chicago-il"
