COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
"'Woodlawn',",'6446 S. Kenwood Ave.',60637,41.7775,-87.5931
"'Humboldt Park',",'3541 W. North Ave.',60647,41.9099,-87.7161
"'Albany Park',",'2800 W. Montrose Ave.',60618,41.9614,-87.6985
"'North Lawndale',",'4339-47 W. 18th Pl',60623,41.8558,-87.7339
"'Rogers Park',",'6928 N. Wayne Ave.',60626,42.0076,-87.6652
"'Englewood',",'6002 S. Halsted St.',60621,41.785,-87.6451
"'Montclare',",'2931-57 N. Harlem Ave.',60707,41.9335,-87.8064
"'Oakland',",'1140 E. 42nd Pl',60653,41.8181,-87.5981
"'Near West Side',",'1355 S. Blue Island Ave.',60608,41.864,-87.6558
"'Auburn Gresham',",'1050 W. 79th St.',60620,41.7506,-87.6509
"'North Center',",'2324 W. Irving Park Road',60618,41.9541,-87.687
"'East Garfield Park',",'3300 W. Maypole Ave.',60624,41.8837,-87.7089
"'West Pullman',",'12045 S. Emerald Ave.',60628,41.6747,-87.6405
"'Humboldt Park',",'3220 W. Division St.',60651,41.9029,-87.7076
"'North Lawndale',",'1313-15 S. Fairfiled Ave.',60608,41.8642,-87.6944
"'Grand Boulevard',",'5000 S. Indiana Ave.',60615,41.8038,-87.6212
"'Lower West Side',",'2124 W. 19th St.',60608,41.8559,-87.6794
"'West Pullman',",'11701 S. State St.',60628,41.6816,-87.6226
"'Near South Side',",'1400 S. Indiana Ave.',60605,41.864,-87.6226
"'Washington Park',",'6151 S. Michigan Ave.',60637,41.7823,-87.622
"'Grand Boulevard',",'4427-33 S. Indiana Ave.',60653,41.814,-87.6212
"'Uptown',",'5012 N. Winthrop Ave.',60640,41.9737,-87.6579
"'Oakland',",'1128 E. Bowen Ave.',60653,41.8189,-87.599
"'North Lawndale',",'4041 W. Roosevelt Road',60624,41.866,-87.7267
"'Belmont Cragin',",'4800 W. George St.',60641,41.9335,-87.7468
"'Douglas',",'17 W. 36th St.',60609,41.8291,-87.6272
"'West Town',",'1600 N. Talman Ave.',60647,41.9103,-87.6935
"'Oakland',",'4143 S. Lake Park Ave.',60653,41.8188,-87.6
