COMMUNITY_AREA_NAMES,ADDRESS,ZIP_CODES,LATITUDE,LONGITUDE
"'Washington Park',",'300-10 E. 61st St.',60637,41.7839,-87.6189
"'Grand Boulevard',",'223 E. 41st St.',60653,41.8201,-87.6204
"'Humboldt Park',",'1152 N. Christiana Ave.',60647,41.9026,-87.7108
"'North Lawndale',",'1129 S. Sacramento Ave.',60612,41.8674,-87.7007
"'Near West Side',",'2237 W. Maypole Ave.',60612,41.8838,-87.6828
"'South Chicago',",'8425 S. Saginaw Ave.',60617,41.742,-87.5599
"'Uptown',",'927 W. Wilson Ave.',60640,41.9653,-87.6535
"'Humboldt Park',",'521 N. St. Louis Ave.',60624,41.8909,-87.7136
"'Washington Heights',",'848 W. 103rd St.',60643,41.707,-87.6448
"'Grand Boulevard',",'401 E. Bowen Ave.',60653,41.8192,-87.6165
"'Pullman',",'15 E. 112th Place',60628,41.6898,-87.6224
"'Near North Side',",'1151 N. Cleveland Ave.',60622,41.903,-87.641
"'Near South Side',",'2030 S. State St.',60616,41.8545,-87.6273
"'Washington Park',",'110 E. 60th St.',60637,41.7857,-87.6217
"'Near West Side',",'1314 W. 15th St.',60608,41.8617,-87.6596
"'Grand Boulevard',",'636 E. 50th St.',60615,41.8041,-87.6099
"'West Town',",1456 N. Rockwell Ave.,60622,41.9055,-87.6922
"'Montclare',",6614 W. Diversey Ave.,60707,41.931,-87.7908
"'West Town',",1451 N. Washtenaw Ave.,60622,41.9071,-87.6946
