address,latitude,longitude,violations
'4000 W CHICAGO AVENUE',41.8955,-87.7261,9050
'1 S HALSTED STREET',41.8817,-87.6472,9023
'1 N HALSTED STREET',41.8818,-87.6472,9018
'800 N CENTRAL AVENUE',41.8949,-87.7655,9008
'3100 S KEDZIE AVENUE',41.8371,-87.705,8999
'2200 S PULASKI',41.8515,-87.7249,8834
'1200 S KOSTNER',41.8659,-87.7351,8582
'2800 W PETERSON AVENUE',41.9906,-87.6995,8580
'1600 W CORTLAND ST',41.9162,-87.6678,8575
'7100 S KEDZIE AVENUE',41.7643,-87.703,8531
'3600 N HARLEM AVENUE',41.9453,-87.8072,8494
'800 W NORTH AVENUE',41.911,-87.6483,8447
'800 N CICERO AVENUE',41.895,-87.746,8370
'1200 S PULASKI ROAD',41.8661,-87.7253,8352
'1600 W LAWRENCE AVENUE',41.969,-87.6695,8320
'3000 W CHICAGO AVENUE',41.8957,-87.7022,8305
'2800 N CICERO AVENUE',41.9316,-87.7467,8190
'2800 N WESTERN AVENUE',41.9322,-87.688,8179
'7900 S WESTERN AVE',41.7501,-87.683,8099
'6000 N WESTERN AVE',41.9906,-87.6898,8093
'7100 S ASHLAND',41.7649,-87.6639,7987
'5200 N BROADWAY ST',41.9764,-87.66,7957
'5075 W MONTROSE AVENUE',41.9605,-87.7544,7950
'1600 E 79TH ST',41.7516,-87.5856,7949
'2000 W DIVERSEY PARKWAY',41.9324,-87.6782,7934
'2426 N DAMEN AVE',41.9257,-87.6781,7909
'5200 W FULLERTON AVENUE',41.9242,-87.7562,7908
'7200 N WESTERN AVENUE',42.0124,-87.6904,7751
'4000 W PETERSON AVENUE',41.9902,-87.7287,7745
'4700 S KEDZIE AVE',41.808,-87.7041,7727
'5600 W LAKE STREET',41.8878,-87.7652,7641
'3200 N HARLEM AVE',41.9381,-87.8069,7552
'2400 N CLARK ST',41.9256,-87.6407,7404
'6400 N WESTERN AVENUE',41.9978,-87.69,7319
'1600 W MADISON',41.8816,-87.6669,7283
'6000 N CICERO AVENUE',41.99,-87.7485,7276
'2400 N CICERO AVE',41.9243,-87.7465,7229
'800 W 119TH STREET',41.6779,-87.642,7182
'4800 N WESTERN AVENUE',41.9686,-87.6891,7155
'7200 W BELMONT AVE',41.9381,-87.8068,7142
'6000 W DIVERSEY AVENUE',41.9312,-87.776,7047
'5200 N WESTERN AVE',41.9759,-87.6893,7018
'2400 W MARQUETTE ROAD',41.7721,-87.6835,6954
'4800 W CHICAGO AVENUE',41.8951,-87.7459,6878
'7432 W TOUHY AVENUE',42.0117,-87.8128,6543
'1200 W DEVON AVE',41.9983,-87.6606,6534
'800 W 111TH ST',41.6925,-87.6424,6520
'9500 S JEFFERY AVE',41.7224,-87.5755,6456
'5200 N PULASKI RD',41.9756,-87.7284,6425
'3600 N AUSTIN AVENUE',41.9458,-87.7767,6393
'2000 N CICERO AVENUE',41.917,-87.7463,6288
'2800 N PULASKI ROAD',41.9318,-87.7271,6169
'5600 W IRVING PARK ROAD',41.9533,-87.7671,6121
'5600 W CHICAGO AVENUE',41.895,-87.7655,6058
'3200 N PULASKI RD',41.9391,-87.7273,5988
'5232 N MILWAUKEE AVE',41.9754,-87.7676,5929
'800 W 79TH STREET',41.7508,-87.6441,5883
'1600 W DIVISION STREET',41.9035,-87.6676,5783
'4800 W HARRISON STREET',41.8732,-87.7451,5768
'7900 S PULASKI ROAD',41.7493,-87.7221,5767
'4000 N ASHLAND AVENUE',41.9544,-87.6692,5680
'4000 W 79TH STREET',41.7497,-87.722,5667
'5500 S PULASKI',41.7932,-87.7233,5614
'800 N WESTERN AVE',41.8958,-87.687,5556
'1200 W FOSTER AVE',41.9764,-87.6599,5508
'7100 S WESTERN AVENUE',41.7646,-87.6834,5502
'2400 N HALSTED STREET',41.9255,-87.6489,5466
'4800 W FULLERTON AVE',41.9243,-87.7464,5455
'6400 N MILWAUKEE AVEN',41.9974,-87.7881,5438
'2400 W LAWRENCE AVENUE',41.9687,-87.689,5358
'2800 W DEVON AVENUE',41.9977,-87.6997,5309
'4000 N AUSTIN AVENUE',41.9531,-87.7769,5287
'3200 W 71ST STREET',41.7645,-87.7029,5214
'3400 W DIVERSEY AVENUE',41.9321,-87.7124,5193
'4000 N CLARK STREET',41.9544,-87.6624,5190
'3200 W 31ST STREET',41.8373,-87.705,5189
'4000 W 63RD ST',41.7788,-87.7228,5087
'4800 N ELSTON AVENUE',41.968,-87.7403,5072
'1000 W FOSTER AVE',41.9765,-87.655,5035
'2400 W NORTH AVE',41.9104,-87.6873,5018
'4000 W NORTH AVENUE',41.91,-87.7264,4933
'3600 N CENTRAL AVENUE',41.9459,-87.7669,4918
'7900 S STONEY ISLAND',41.7515,-87.586,4888
'6000 W IRVING PARK ROAD',41.9532,-87.7768,4880
'1 S WESTERN AVE',41.8811,-87.6863,4821
'2400 W ADDISON',41.9468,-87.6883,4795
'5616 W FOSTER AVE',41.9758,-87.7693,4773
'3200 W 47TH ST',41.8082,-87.704,4743
'3200 W 63RD ST',41.7791,-87.7033,4710
'5600 W FULLERTON AVENU',41.9241,-87.7661,4673
'2400 W CHICAGO AVE',41.8959,-87.687,4654
'3200 W BELMONT',41.9394,-87.7077,4648
'4000 N PULASKI ROAD',41.9537,-87.7278,4596
'3200 W 55TH STREET',41.7936,-87.7036,4484
'3200 W ARMITAGE AVENUE',41.9175,-87.7071,4463
'2400 W PERSHING ROAD',41.8231,-87.685,4433
'3900 S WESTERN BLVD',41.823,-87.6844,4330
'5600 W ADDISON STREET',41.946,-87.7669,4108
'4000 W 55TH ST',41.7933,-87.7232,4029
'2000 E 95TH ST',41.7226,-87.5753,4028
'2400 W MADISON',41.8813,-87.6865,3989
'4400 N MILWAUKEE AVEN',41.9606,-87.7546,3985
'800 N PULASKI ROAD',41.8955,-87.7262,3871
'4000 W DIVERSEY AVENUE',41.9319,-87.7271,3842
'3600 N ELSTON AVE',41.9465,-87.709,3832
'6000 W ADDISON STREET',41.9459,-87.7766,3825
'6200 N LINCOLN AVENUE',41.9944,-87.7142,3793
'6300 S WESTERN AVE',41.7791,-87.6838,3756
'6400 N CALIFORNIA AVE',41.9976,-87.6998,3703
'5700 S CORNELL DRIVE',41.7916,-87.5856,3673
'5500 S KEDZIE AVENUE',41.7934,-87.7037,3659
'140 W KINZIE',41.8893,-87.6326,3635
'2400 W CERMAK ROAD',41.8521,-87.6858,3633
'5200 N SHERIDAN ROAD',41.9765,-87.6551,3622
'2400 W 63RD ST',41.7793,-87.6837,3607
'100 E JACKSON BLVD',41.8784,-87.6242,3565
'4800 W DIVERSEY AVENUE',41.9316,-87.7467,3491
'7200 W ADDISON',41.9454,-87.8071,3483
'800 W 115TH STREET',41.6852,-87.6423,3442
'4000 W LAWRENCE AVENUE',41.9684,-87.7281,3435
'4700 S CICERO AVE',41.8075,-87.7433,3337
'6300 S KEDZIE AVE',41.7789,-87.7033,3330
'4000 N CENTRAL AVENUE',41.9533,-87.7672,3262
'6400 W ARCHER AVE',41.7925,-87.7819,3260
'1600 N PULASKI AVENUE',41.91,-87.7265,3247
'5600 W BELMONT AVENUE',41.9387,-87.7666,3157
'100 E ONTARIO ST',41.8934,-87.6254,3156
'1600 N KOSTNER',41.9098,-87.7364,3136
'4000 W BELMONT AVE',41.9392,-87.7273,3044
'3200 N KEDZIE AVENUE',41.9394,-87.7078,2760
'8300 S STONY ISLAND A',41.7442,-87.5859,2739
'6400 W FOSTER',41.9758,-87.7879,2666
'2400 W MONTROSE AVENUE',41.9614,-87.6887,2660
'800 W 103RD STREET',41.707,-87.6429,2639
'4800 W PETERSON AVENUE',41.99,-87.7484,2634
'3200 N CENTRAL AVENUE',41.9386,-87.7666,2495
'2400 N PULASKI RD',41.9246,-87.7269,2488
'2800 N ASHLAND AVENUE',41.9324,-87.6685,2474
'11100 S VINCENNES AVE',41.6922,-87.6635,2411
'5600 W DIVERSEY AVENUE',41.9314,-87.7663,2344
'2400 W DIVERSEY AVENUE',41.9323,-87.688,2281
'4800 N PULASKI ROAD',41.9683,-87.7282,2146
'2400 N CENTRAL AVENUE',41.9241,-87.7661,2119
'4800 W ARMITAGE AVENUE',41.917,-87.7462,2030
'2400 N LARAMIE AVENUE',41.9242,-87.7563,1991
'2400 W 79TH ST',41.7502,-87.6828,1991
'2800 N CENTRAL AVENUE',41.9314,-87.7664,1950
'5200 N NORTHWEST HWY',41.9752,-87.7686,1894
'7900 S SOUTH CHICAGO AVE',41.7513,-87.5856,1742
'6000 N CALIFORNIA AVE',41.9905,-87.6996,1644
'4000 N ELSTON AVENUE',41.9537,-87.7193,1626
'8300 S HALSTED STREET',41.7433,-87.644,1586
'6800 N WESTERN AVENUE',42.0051,-87.6902,1558
'5232 N CENTRAL AVE',41.9765,-87.7686,1422
'800 E 95TH STREET',41.7222,-87.6044,1319
'6000 N PULASKI ROAD',41.9902,-87.7288,1265
'2400 W 71ST STREET',41.7648,-87.6833,1073
'1600 W GARFIELD BLVD',41.7941,-87.6646,1069
'3100 S ASHLAND AVENUE',41.8376,-87.6659,1044
'2416 S BLUE ISLAND AV',41.8485,-87.6763,962
'3100 S ARCHER AVENUE',41.8377,-87.6659,944
'6400 N HARLEM AVE',41.997,-87.8069,930
'2416 S DAMEN AVENUE',41.8481,-87.6759,906
'9500 S COTTAGE GROVE',41.722,-87.6033,858
'6300 S HALSTED STREET',41.7797,-87.6449,855
'0 S CENTRAL AVENUE',41.8802,-87.765,802
'3100 S CALIFORNIA',41.8373,-87.6952,801
'1600 E 83RD STREET',41.7443,-87.5853,791
'7900 S KEDZIE AVE',41.7497,-87.7025,759
'4700 S ASHLAND AVENUE',41.8085,-87.6651,721
'4932 W FOSTER AVENUE',41.9754,-87.7517,680
'5600 W MADISON STREET',41.8804,-87.7649,623
'6300 S ASHLAND AVE',41.7794,-87.6644,606
'5500 S ASHLAND AVENUE',41.7936,-87.6647,531
'2000 N WESTERN AVENUE',41.9176,-87.6876,521
'5100 S WESTERN BLVD',41.8011,-87.6838,495
'2000 E 79TH STREET',41.7517,-87.5759,408
'2400 N DAMEN AVE',41.925,-87.678,329
'6200 N KIMBALL AVENUE',41.9938,-87.7142,266
'1600 W 63RD STREET',41.7796,-87.6643,245
'4400 N PULASKI ROAD',41.961,-87.728,245
'4000 W MONTROSE AVENUE',41.9611,-87.7279,212
'5200 N ELSTON AVENUE',41.9753,-87.752,169
'2400 W 51ST ST',41.8013,-87.6843,160
'2400 W VAN BUREN STREET',41.8762,-87.6863,1
