ADDRESS,LATITUDE,LONGITUDE,VIOLATIONS
3100 S CALIFORNIA,41.83727705,-87.695172247,801
3100 S KEDZIE AVENUE,41.837132671,-87.704967115,8999
3200 N CENTRAL AVENUE,41.938617463,-87.766648297,2495
3200 N HARLEM AVE,41.938084468,-87.80689674899999,7552
3200 N KEDZIE AVE,41.93935173,-87.707846594,29970
3200 N KEDZIE AVENUE,41.93935173,-87.707846594,2760
3200 N LAKESHORE DRIV,41.940909163,-87.63936916,17727
3200 N PULASKI RD,41.939138154,-87.72733371,5988
3200 W 31ST STREET,41.8373395,-87.704950558,5189
3200 W 47TH ST,41.808226246,-87.70403167200001,4743
3200 W 55TH STREET,41.793622803000005,-87.703618141,4484
3200 W 63RD ST,41.779081505,-87.703260365,4710
3200 W 71ST STREET,41.764497433,-87.702877023,5214
3200 W 79TH ST,41.749952001,-87.702448478,9556
3200 W ARMITAGE AVENUE,41.917511023,-87.707053639,4463
3200 W BELMONT,41.939440561,-87.707718516,4648
3200 W IRVING PARK ROAD,41.954029047,-87.708077494,9198
3216 W ADDISON ST,41.946734755,-87.708609774,16005
3400 W DIVERSEY AVENUE,41.932087747,-87.71238583,5193
3400 W NORTH AVE,41.910162846999995,-87.711953868,13478
3500 S WESTERN,41.830187255,-87.685177925,13998
3600 N AUSTIN AVENUE,41.945813215,-87.776652162,6393
3600 N CENTRAL AVENUE,41.945919491,-87.766904594,4918
3600 N CICERO AVENUE,41.946163524,-87.747215169,22813
3600 N ELSTON AVE,41.946549165,-87.708952626,3832
3600 N HARLEM AVENUE,41.945338412,-87.807154769,8494
3600 N WESTERN AVENUE,41.94681992,-87.688406662,11310
3800 W MADISON STREET,41.880897273,-87.720881226,18360
3900 S WESTERN BLVD,41.822963628000004,-87.684384785,4330
400 E 31ST STREET,41.838534018000004,-87.61704611299999,9329
400 N CENTRAL AVENUE,41.887804621,-87.765268498,12303
400 N LASALLE,41.889225372,-87.632674115,10723
400 S WESTERN AVENUE,41.876064776,-87.686415631,69563
400 W BELMONT AVE,41.940241193,-87.63963911399999,109145
4000 N ASHLAND AVENUE,41.954379326,-87.66919912,5680
4000 N AUSTIN AVENUE,41.953144059,-87.776925284,5287
4000 N CENTRAL AVENUE,41.953272751,-87.76715015100001,3262
4000 N CLARK STREET,41.954432441,-87.66244625899999,5190
4000 N ELSTON AVENUE,41.953687265999996,-87.719297882,1626
4000 N PULASKI ROAD,41.953737051,-87.72776661200001,4596
4000 W 55TH ST,41.793313334000004,-87.72322303799999,4029
4000 W 63RD ST,41.77876739,-87.722823195,5087
4000 W 79TH STREET,41.749679359,-87.721978345,5667
4000 W ARMITAGE AVENUE,41.917275069,-87.726622746,12581
4000 W BELMONT AVE,41.93920375,-87.72731013399999,3044
4000 W CERMAK,41.851654369,-87.724882975,12398
4000 W CHICAGO AVENUE,41.895476752,-87.72614436,9050
4000 W DIVERSEY AVENUE,41.931897723,-87.72710503,3842
4000 W FOSTER AVE,41.975640616,-87.728335469,10231
4000 W FULLERTON AVE,41.924593021999996,-87.72681926799999,9743
4000 W IRVING PARK RD,41.953756874,-87.72769851299999,13367
4000 W LAWRENCE AVENUE,41.968351285,-87.728091672,3435
4000 W MONTROSE AVENUE,41.961055804000004,-87.72789120600001,212
4000 W NORTH AVENUE,41.909995582,-87.72639469299999,4933
4000 W PETERSON AVENUE,41.990244186,-87.728714391,7745
4000 W ROOSEVELT ROAD,41.866281003000005,-87.72523422,13344
4200 S CICERO AVENUE,41.816729386999995,-87.74353671200001,133894
4400 N MILWAUKEE AVEN,41.96061723,-87.75463824,3985
4400 N PULASKI ROAD,41.961023721,-87.727977456,245
4400 N WESTERN AVENUE,41.961401846,-87.688832623,14856
4400 W GRAND AVE,41.91018141,-87.73624887,11660
4400 W NORTH,41.909863573,-87.73638029600001,20488
4400 W OGDEN AVENUE,41.847777523000005,-87.734505969,19177
4400 W ROOSEVELT,41.866140868,-87.73508956,12071
4440 W LAWRENCE AVENUE,41.968226398,-87.739599251,12275
