"address","latitude","longitude","violations"
"'7900 S HALSTED STREET'",41.75054956,-87.64418837,10173
"'1600 N HALSTED STREET'",41.91094064,-87.64841904,10100
"'0 N HAMLIN BOULEVARD'",41.88084148,-87.72090219,9981
"'8700 S ASHLAND AVE'",41.73569699,-87.66320954,9950
"'1600 W 71ST'",41.76501831,-87.66385923,9937
"'2600 S KEDZIE AVENUE'",41.84442483,-87.70518545,9859
"'300 S MICHIGAN AVE'",41.87821735,-87.62445584,9763
"'4000 W FULLERTON AVE'",41.92459302,-87.72681927,9743
"'2800 N DAMEN AVENUE'",41.93232949,-87.67828272,9708
"'1600 N WESTERN AVE'",41.91040902,-87.68737027,9662
"'6400 W DEVON AVENUE'",41.99746398,-87.78761024,9643
"'3200 W 79TH ST'",41.749952,-87.70244848,9556
"'2400 W 55TH STREET'",41.79398135,-87.68414174,9541
"'400 E 31ST STREET'",41.83853402,-87.61704611,9329
"'3200 W IRVING PARK ROAD'",41.95402905,-87.70807749,9198
"'4000 W CHICAGO AVENUE'",41.89547675,-87.72614436,9050
"'1 S HALSTED STREET'",41.88171706,-87.64721054,9023
"'1 N HALSTED STREET'",41.88181563,-87.64721472,9018
"'800 N CENTRAL AVENUE'",41.89489658,-87.76554326,9008
"'3100 S KEDZIE AVENUE'",41.83713267,-87.70496712,8999
"'2200 S PULASKI'",41.85152144,-87.72490479,8834
"'1200 S KOSTNER'",41.86593884,-87.73510855,8582
"'2800 W PETERSON AVENUE'",41.99055208,-87.6994644,8580
"'1600 W CORTLAND ST'",41.91623534,-87.66783777,8575
"'7100 S KEDZIE AVENUE'",41.76429504,-87.70295716,8531
"'3600 N HARLEM AVENUE'",41.94533841,-87.80715477,8494
"'800 W NORTH AVENUE'",41.91102851,-87.64833581,8447
"'800 N CICERO AVENUE'",41.89504904,-87.74595552,8370
"'1200 S PULASKI ROAD'",41.86607934,-87.725306,8352
"'1600 W LAWRENCE AVENUE'",41.96898746,-87.66951631,8320
"'3000 W CHICAGO AVENUE'",41.89570453,-87.70221852,8305
"'2800 N CICERO AVENUE'",41.93157561,-87.7467433,8190
"'2800 N WESTERN AVENUE'",41.93221699,-87.68803328,8179
"'7900 S WESTERN AVE'",41.75005493,-87.6829922,8099
"'6000 N WESTERN AVE'",41.99058604,-87.68982247,8093
"'7100 S ASHLAND'",41.76485938,-87.66394018,7987
"'5200 N BROADWAY ST'",41.97641214,-87.66001508,7957
"'5075 W MONTROSE AVENUE'",41.96052209,-87.75437142,7950
"'1600 E 79TH ST'",41.75161152,-87.58559228,7949
"'2000 W DIVERSEY PARKWAY'",41.93239416,-87.67817303,7934
"'2426 N DAMEN AVE'",41.92573171,-87.6780889,7909
"'5200 W FULLERTON AVENUE'",41.9242158,-87.75621076,7908
"'7200 N WESTERN AVENUE'",42.01237134,-87.69039392,7751
"'4000 W PETERSON AVENUE'",41.99024419,-87.72871439,7745
"'4700 S KEDZIE AVE'",41.80804727,-87.70411882,7727
"'5600 W LAKE STREET'",41.88783874,-87.76518366,7641
"'3200 N HARLEM AVE'",41.93808447,-87.80689675,7552
"'2400 N CLARK ST'",41.92559762,-87.64065097,7404
"'6400 N WESTERN AVENUE'",41.99781781,-87.69003304,7319
"'1600 W MADISON'",41.88156417,-87.66692946,7283
"'6000 N CICERO AVENUE'",41.98997392,-87.74847302,7276
"'2400 N CICERO AVE'",41.92428359,-87.74645019,7229
"'800 W 119TH STREET'",41.67792339,-87.64198965,7182
"'4800 N WESTERN AVENUE'",41.96864073,-87.68905424,7155
"'7200 W BELMONT AVE'",41.93810548,-87.80680955,7142
"'6000 W DIVERSEY AVENUE'",41.93124862,-87.77602861,7047
"'5200 N WESTERN AVE'",41.97593337,-87.68929959,7018
"'2400 W MARQUETTE ROAD'",41.77208621,-87.68350886,6954
"'4800 W CHICAGO AVENUE'",41.89511222,-87.74593243,6878
"'7432 W TOUHY AVENUE'",42.01166177,-87.81278143,6543
"'1200 W DEVON AVE'",41.99829823,-87.66061166,6534
"'800 W 111TH ST'",41.69246536,-87.6424409,6520
"'9500 S JEFFERY AVE'",41.72237591,-87.5754999,6456
"'5200 N PULASKI RD'",41.97562074,-87.72838314,6425
"'3600 N AUSTIN AVENUE'",41.94581322,-87.77665216,6393
"'2000 N CICERO AVENUE'",41.91697333,-87.74626022,6288
"'2800 N PULASKI ROAD'",41.93183103,-87.72712687,6169
"'5600 W IRVING PARK ROAD'",41.95329285,-87.76706571,6121
"'5600 W CHICAGO AVENUE'",41.89496229,-87.76546079,6058
"'3200 N PULASKI RD'",41.93913815,-87.72733371,5988
"'5232 N MILWAUKEE AVE'",41.97535028,-87.76763299,5929
"'800 W 79TH STREET'",41.75075116,-87.64410779,5883
"'1600 W DIVISION STREET'",41.90345532,-87.66755899,5783
"'4800 W HARRISON STREET'",41.87324546,-87.74511718,5768
"'7900 S PULASKI ROAD'",41.749339,-87.72205209,5767
"'4000 N ASHLAND AVENUE'",41.95437933,-87.66919912,5680
"'4000 W 79TH STREET'",41.74967936,-87.72197835,5667
"'5500 S PULASKI'",41.79315506,-87.72330377,5614
"'800 N WESTERN AVE'",41.89578696,-87.68699059,5556
"'1200 W FOSTER AVE'",41.97643192,-87.65993181,5508
"'7100 S WESTERN AVENUE'",41.76460891,-87.68338705,5502
"'2400 N HALSTED STREET'",41.92554032,-87.64891216,5466
"'4800 W FULLERTON AVE'",41.92434704,-87.74642764,5455
"'6400 N MILWAUKEE AVEN'",41.99738217,-87.78807767,5438
"'2400 W LAWRENCE AVENUE'",41.96872435,-87.68896873,5358
"'2800 W DEVON AVENUE'",41.99766952,-87.69970642,5309
"'4000 N AUSTIN AVENUE'",41.95314406,-87.77692528,5287
"'3200 W 71ST STREET'",41.76449743,-87.70287702,5214
"'3400 W DIVERSEY AVENUE'",41.93208775,-87.71238583,5193
"'4000 N CLARK STREET'",41.95443244,-87.66244626,5190
"'3200 W 31ST STREET'",41.8373395,-87.70495056,5189
"'4000 W 63RD ST'",41.77876739,-87.7228232,5087
"'4800 N ELSTON AVENUE'",41.96803936,-87.74028389,5072
"'1000 W FOSTER AVE'",41.97650512,-87.65503188,5035
"'2400 W NORTH AVE'",41.91042986,-87.68728422,5018
"'4000 W NORTH AVENUE'",41.90999558,-87.72639469,4933
"'3600 N CENTRAL AVENUE'",41.94591949,-87.76690459,4918
"'7900 S STONEY ISLAND'",41.7514606,-87.58597199,4888
"'6000 W IRVING PARK ROAD'",41.95316377,-87.77684259,4880
"'1 S WESTERN AVE'",41.88111828,-87.68628334,4821
"'2400 W ADDISON'",41.94683999,-87.68832019,4795
"'5616 W FOSTER AVE'",41.97579142,-87.76927689,4773
"'3200 W 47TH ST'",41.80822625,-87.70403167,4743
"'3200 W 63RD ST'",41.77908151,-87.70326037,4710
"'5600 W FULLERTON AVENU'",41.9240902,-87.76605353,4673
"'2400 W CHICAGO AVE'",41.89585104,-87.68696894,4654
"'3200 W BELMONT'",41.93944056,-87.70771852,4648
"'4000 N PULASKI ROAD'",41.95373705,-87.72776661,4596
"'3200 W 55TH STREET'",41.7936228,-87.70361814,4484
"'3200 W ARMITAGE AVENUE'",41.91751102,-87.70705364,4463
"'2400 W PERSHING ROAD'",41.82309676,-87.68501895,4433
"'3900 S WESTERN BLVD'",41.82296363,-87.68438479,4330
"'5600 W ADDISON STREET'",41.9459851,-87.76687995,4108
"'4000 W 55TH ST'",41.79331333,-87.72322304,4029
"'2000 E 95TH ST'",41.72257947,-87.57529252,4028
"'2400 W MADISON'",41.8812705,-87.68653594,3989
"'4400 N MILWAUKEE AVEN'",41.96061723,-87.75463824,3985
"'800 N PULASKI ROAD'",41.89545646,-87.72623054,3871
"'4000 W DIVERSEY AVENUE'",41.93189772,-87.72710503,3842
"'3600 N ELSTON AVE'",41.94654917,-87.70895263,3832
"'6000 W ADDISON STREET'",41.94587968,-87.77662742,3825
"'6200 N LINCOLN AVENUE'",41.99445,-87.71420844,3793
"'6300 S WESTERN AVE'",41.77912348,-87.6837831,3756
"'6400 N CALIFORNIA AVE'",41.99764913,-87.69979263,3703
"'5700 S CORNELL DRIVE'",41.7915802,-87.58556422,3673
"'5500 S KEDZIE AVENUE'",41.79342024,-87.70369751,3659
"'140 W KINZIE'",41.88929722,-87.63260165,3635
"'2400 W CERMAK ROAD'",41.85214131,-87.68575264,3633
"'5200 N SHERIDAN ROAD'",41.97649272,-87.65513361,3622
"'2400 W 63RD ST'",41.77933184,-87.68367576,3607
"'100 E JACKSON BLVD'",41.87839012,-87.62423731,3565
"'4800 W DIVERSEY AVENUE'",41.93164142,-87.74671991,3491
"'7200 W ADDISON'",41.94537336,-87.80707033,3483
"'800 W 115TH STREET'",41.68519006,-87.64227956,3442
"'4000 W LAWRENCE AVENUE'",41.96835129,-87.72809167,3435
"'4700 S CICERO AVE'",41.80753037,-87.74329682,3337
"'6300 S KEDZIE AVE'",41.77894575,-87.70328312,3330
